,0,1,2,3,4,5,6,7,8,9
8,0.12246142,0.17579216,0.09708868,0.027329028,0.03247592,0.17055449,0.030260116,0.0874913,0.16460827,0.50437653
9,0.17910585,0.1941301,0.24502668,0.2544449,0.2163171,0.17989153,0.01994744,0.014107764,0.13565457,0.5564856
10,0.07412501,0.04556483,0.0043774545,0.16908701,0.06866391,0.012800708,0.062201932,0.14290154,0.14105076,0.26693812
11,0.046942726,0.00011694431,0.10898104,0.011605769,0.050474867,0.20458764,0.114498466,0.11891027,0.15303218,0.3360415
12,0.052374266,0.10364683,0.09244661,0.03610862,0.04481063,0.07163072,0.11429861,0.09684086,0.42763764,0.45505413
13,0.14874077,0.29145792,0.06482898,0.11719115,0.036399916,0.10561231,0.05494368,0.10248548,0.17667371,0.64981467
14,0.1460182,0.1755899,0.13937801,0.27787587,0.20622858,0.31591764,0.2660236,0.118273556,0.22685957,0.37659904
15,0.17664269,0.17622754,0.12428544,0.21509326,0.28405803,0.25353083,0.18522072,0.17847285,0.13175783,0.53336596
16,0.23735777,0.2024779,0.1633695,0.23432001,0.20649506,0.4138975,0.22270612,0.17461272,0.25202143,0.4481757
17,0.12104418,0.025808066,0.060846858,0.17983642,0.18498781,0.09048036,0.016614899,0.07599495,0.17345929,0.24305099
18,0.09013069,0.11862074,0.18591616,0.023663208,0.105576836,0.15287831,0.15067697,0.0878773,0.29067066,0.4856266
19,0.07738199,0.1845716,0.1299901,0.051700518,0.053857014,0.16067708,0.032030255,0.15658721,0.16692537,0.5694783
20,0.06101787,0.13862863,0.20834216,0.20501406,0.21442103,0.24964222,0.01816523,0.08154926,0.19551656,0.5282147
21,0.23685746,0.22846225,0.19110808,0.14212888,0.27719027,0.40411955,0.24500528,0.09228796,0.26573494,0.50974786
22,0.1459871,0.22552761,0.21433544,0.3118379,0.3827296,0.3011696,0.26818115,0.1074124,0.14969596,0.48030853
23,0.12206509,0.048261866,0.00034551322,0.013358243,0.09198781,0.17038342,0.021643065,0.0010680333,0.16129565,0.3400462
24,0.18964697,0.2282103,0.024431549,0.15084082,0.17658198,0.27732012,0.1195316,0.1405544,0.28515914,0.44275123
25,0.13865459,0.010604709,0.10239107,0.12624992,0.1512146,0.06748322,0.22978911,0.05593288,0.199513,0.40102574
26,0.11278265,0.13020682,0.11009731,0.17959933,0.30324256,0.23456168,0.07795292,0.035517335,0.15613711,0.4941442
